"company_name","company_name_normalized","primary_domain","pole_code","sub_sector","country","source"
"A2PRL - Agence De Presse Audio","a2prl - agence de presse audio","mediameeting.fr","AUDIO_RADIO","Équipement & tech audio/radio (auto-dispatch)","France","xlsx_seed_2026-04-30"
"AUDIENS","audiens","audiens.org","VIDEO_CTV","Protection sociale médias","France","xlsx_seed_2026-04-30"
"Brandy","brandy","brandy-jingles.com","AUDIO_RADIO","Studios production & habillage (jingles, imagerie)","Belgique","xlsx_seed_2026-04-30"
"Broadcast Bionics","broadcast bionics","bionics.co.uk","AUDIO_RADIO","Diffusion audio broadcast (codecs, AoIP, automation)","Grande Bretagne","xlsx_seed_2026-04-30"
"Broadcast-associés","broadcast-associes","broadcast-associes.com","AUDIO_RADIO","Architecte média","France","xlsx_seed_2026-04-30"
"CNRA","cnra","cnra.fr","AUDIO_RADIO","Confédération radios associatives","France","xlsx_seed_2026-04-30"
"CreaCast","creacast","creacast.com","DIFFUSION_INFRA","Cloud broadcast & CDN","France","xlsx_seed_2026-04-30"
"Dailypub","dailypub","dailypub.fr","AUDIO_RADIO","Ad insertion / programmatique audio","France","xlsx_seed_2026-04-30"
"Digris AG","digris ag","digris.ch","DIFFUSION_INFRA","Opérateurs FM / DAB+","Suisse","xlsx_seed_2026-04-30"
"DTS AutoStage","dts autostage","dts.com","AUDIO_RADIO","Radio hybride / automobile / connectée","Etats Unis","xlsx_seed_2026-04-30"
"EDITION MULTIMEDIA ( - édition multimédia)","edition multimedia ( - edition multimedia)","editionmultimedia.com","AUDIO_RADIO","Équipement & tech audio/radio (auto-dispatch)","France","xlsx_seed_2026-04-30"
"LES INDES RADIOS ( - INDÉS RADIOS)","les indes radios ( - indes radios)","lesindesradios.fr","REGIES_RETAIL_MEDIA","Régies Radio","France","xlsx_seed_2026-04-30"
"Médiamétrie","mediametrie","mediametrie.fr","AUDIO_RADIO","Mesure d'audience audio","France","xlsx_seed_2026-04-30"
"Médiatic Conseils","mediatic conseils","mediaticconseils.com","AUDIO_RADIO","Conseil / stratégie radio","France","xlsx_seed_2026-04-30"
"Nautel Digidia","nautel digidia","nautel.com","DIFFUSION_INFRA","Émetteurs radio","France","xlsx_seed_2026-04-30"
"NeoGroupe","neogroupe","neogroupe.com","AUDIO_RADIO","Logiciels radio (automation, programmation, music scheduling)","France","xlsx_seed_2026-04-30"
"NETIA","netia","netia.com","AUDIO_RADIO","Diffusion audio broadcast (codecs, AoIP, automation)","France","xlsx_seed_2026-04-30"
"Paneda Tech AB","paneda tech ab","paneda.no","DIFFUSION_INFRA","Émetteurs & infrastructure RF","Suède","xlsx_seed_2026-04-30"
"Paris Radio Show (Salon de La Radio - Le RADIO ! European Radio Show)","paris radio show (salon de la radio - le radio ! european radio show)","parisradioshow.com","INCONNU","","France","xlsx_seed_2026-04-30"
"PHF COM","phf com","phfcom.fr","VIDEO_CTV","Intégrateurs AV","France","xlsx_seed_2026-04-30"
"Plisch The Transmitter Company","plisch the transmitter company","plisch.com","DIFFUSION_INFRA","Émetteurs","Allemagne","xlsx_seed_2026-04-30"
"Radiodigi","radiodigi","dabplus.fr","DIFFUSION_INFRA","Promotion DAB+","Pays Bas","xlsx_seed_2026-04-30"
"RadioKing","radioking","radioking.com","AUDIO_RADIO","Webradio SaaS","France","xlsx_seed_2026-04-30"
"RAMI AUDIO","rami audio","ramiaudio.com","AUDIO_RADIO","Équipement audio pro (micros, monitoring)","France","xlsx_seed_2026-04-30"
"RCS Europe","rcs europe","rcsworks.com","AUDIO_RADIO","Diffusion audio broadcast (codecs, AoIP, automation)","France","xlsx_seed_2026-04-30"
"SACEM","sacem","sacem.fr","AUDIO_RADIO","Droits d'auteur musique","France","xlsx_seed_2026-04-30"
"Save Diffusion","save diffusion","savediffusion.fr","AUDIO_RADIO","Diffusion audio broadcast (codecs, AoIP, automation)","France","xlsx_seed_2026-04-30"
"SIRTI","sirti","sirti.info","AUDIO_RADIO","Syndicat radios indépendantes","France","xlsx_seed_2026-04-30"
"SNRL","snrl","snrl.fr","AUDIO_RADIO","Syndicat radios libres","France","xlsx_seed_2026-04-30"
"SOUND4","sound4","sound4.com","AUDIO_RADIO","Diffusion audio broadcast (codecs, AoIP, automation)","France","xlsx_seed_2026-04-30"
"TDF","tdf","tdf.fr","DIFFUSION_INFRA","Opérateurs FM / DAB+","France","xlsx_seed_2026-04-30"
"Tieline","tieline","tieline.com","AUDIO_RADIO","Diffusion audio broadcast (codecs, AoIP, automation)","Australie","xlsx_seed_2026-04-30"
"towerCast","towercast","towercast.fr","DIFFUSION_INFRA","Opérateurs FM / DAB+","France","xlsx_seed_2026-04-30"
"UNESCO","unesco","unesco.org","AUDIO_RADIO","Organisation internationale","France","xlsx_seed_2026-04-30"
"Wheatstone Corporation","wheatstone corporation","wheatstone.com","AUDIO_RADIO","Diffusion audio broadcast (codecs, AoIP, automation)","Etats Unis","xlsx_seed_2026-04-30"
"WinMedia","winmedia","winmedia.fr","AUDIO_RADIO","Diffusion audio broadcast (codecs, AoIP, automation)","France","xlsx_seed_2026-04-30"
"WorldCast Systems","worldcast systems","worldcastsystems.com","DIFFUSION_INFRA","Broadcast radio","France","xlsx_seed_2026-04-30"
"WorldDAB","worlddab","worlddab.org","DIFFUSION_INFRA","Forum international DAB+","Grande Bretagne","xlsx_seed_2026-04-30"
"21 Juin Production","21 juin production","21juin.fr","AUDIO_RADIO","Studios production & habillage (jingles, imagerie)","France","xlsx_seed_2026-04-30"
"2wcom Systems GmbH","2wcom systems gmbh","2wcom.com","AUDIO_RADIO","Diffusion audio broadcast (codecs, AoIP, automation)","Allemagne","xlsx_seed_2026-04-30"
"CMIS - Campus Médias Caen","cmis - campus medias caen","cmis-caen.fr","INCONNU","Campus médias / École","France","xlsx_seed_2026-04-30"
"Igensia","igensia","igensia.com","INCONNU","Groupe de formations / Éducation","France","xlsx_seed_2026-04-30"
"Ferncast","ferncast","ferncast.de","DIFFUSION_INFRA","Éditeur logiciels broadcast","Allemagne","xlsx_seed_2026-04-30"
"Thimeo","thimeo","thimeo.com","DIFFUSION_INFRA","Software audio / DSP broadcast","France","xlsx_seed_2026-04-30"
"WebRadio AI","webradio ai","webradio.ai","AUDIO_RADIO","Solution IA pour webradios","France","xlsx_seed_2026-04-30"
"Audio Brothers","audio brothers","audiobrothers.com","AUDIO_RADIO","Production audio / jingles","France","xlsx_seed_2026-04-30"
"Saywot","saywot","saywot.fr","AUDIO_RADIO","Webradios nouvelle génération","France","xlsx_seed_2026-04-30"
